Latency,Interval
18446744056030580736,0
18446744056030580736,0
18446744056030578688,18446744073709549568
18446744056030578688,0
18446744056030576640,18446744073709549568
18446744056030576640,0
18446744056030576640,0
18446744056030574592,18446744073709549568
18446744056030574592,0
18446744056030574592,0
18446744056030572544,18446744073709549568
18446744056030572544,0
18446744056030572544,0
18446744056030570496,18446744073709549568
18446744056030570496,0
18446744056030568448,18446744073709549568
18446744056030568448,0
18446744056030568448,0
18446744056030566400,18446744073709549568
18446744056030566400,0
18446744056030566400,0
18446744056030564352,18446744073709549568
18446744056030564352,0
18446744056030564352,0
18446744056030562304,18446744073709549568
18446744056030562304,0
18446744056030562304,0
18446744056030560256,18446744073709549568
18446744056030560256,0
18446744056030560256,0
18446744056030560256,0
18446744056030558208,18446744073709549568
18446744056030558208,0
18446744056030558208,0
18446744056030556160,18446744073709549568
18446744056030556160,0
18446744056030554112,18446744073709549568
18446744056030554112,0
18446744056030554112,0
18446744056030552064,18446744073709549568
18446744056030552064,0
18446744056030552064,0
18446744056030550016,18446744073709549568
18446744056030550016,0
18446744056030547968,18446744073709549568
18446744056030547968,0
18446744056030547968,0
18446744056030545920,18446744073709549568
18446744056030545920,0
18446744056030545920,0
18446744056030543872,18446744073709549568
18446744056030543872,0
18446744056030543872,0
18446744056030541824,18446744073709549568
18446744056030541824,0
18446744056030539776,18446744073709549568
18446744056030539776,0
18446744056030539776,0
18446744056030537728,18446744073709549568
18446744056030537728,0
18446744056030537728,0
18446744056030535680,18446744073709549568
18446744056030535680,0
18446744056030533632,18446744073709549568
18446744056030533632,0
18446744056030533632,0
18446744056030531584,18446744073709549568
18446744056030531584,0
18446744056030531584,0
18446744056030529536,18446744073709549568
18446744056030529536,0
18446744056030529536,0
18446744056030527488,18446744073709549568
18446744056030527488,0
18446744056030527488,0
18446744056030525440,18446744073709549568
18446744056030525440,0
18446744056030523392,18446744073709549568
18446744056030523392,0
18446744056030523392,0
18446744056030523392,0
18446744056030521344,18446744073709549568
18446744056030521344,0
18446744056030521344,0
18446744056030521344,0
18446744056030519296,18446744073709549568
18446744056030519296,0
18446744056030517248,18446744073709549568
18446744056030517248,0
18446744056030517248,0
